Brewery,City,Brewery_type,Rating,City_population,Number_of_ratings,Date
LionheartCider,Minneapolis,Cidery / Meadery,3.64,"1,425","1,067 Ratings",Added 06/07/15
BullRunCider,Forest Grove,Cidery / Meadery,3.48,"3,818","3,086 Ratings",Added 03/21/13
LastNameBrewing,Upland,Micro Brewery,3.57,"27,196","19,271 Ratings",Added 11/28/10
BarrenHillTavernBrewery,Lafayette Hill,Brew Pub,3.51,"14,312","12,048 Ratings",Added 10/08/13
CoalCreekTAP,Laramie,Micro Brewery,3.69,"5,033","3,949 Ratings",Added 03/12/14
ReformationBrewery,Woodstock,Micro Brewery,3.75,"58,046","40,183 Ratings",Added 12/13/10
AAles,San Diego,Micro Brewery,3.65,"56,826","46,961 Ratings",Added 11/16/12
StumptownAles,Davis,Micro Brewery,3.92,"8,580","6,539 Ratings",Added 08/15/15
StPetersBreweryCo,St Peter South Elmham,Micro Brewery,3.37,"144,378","118,264 Ratings",Added 10/03/10
wtap-room-no-21-brewing202187,Novato,Micro Brewery,3.24,"57,303","43,730 Ratings",Added 05/10/15
JoBoysBrewPub,Lititz,Brew Pub,3.57,"15,509","12,673 Ratings",Added 01/08/11
victorybeer,Downingtown,Micro Brewery,3.67,3.12M+,"2,071,829 Ratings",Added 10/08/10
LagunitasBrewingCo,Petaluma,Macro Brewery,3.85,6.11M+,"3,784,317 Ratings",Added 10/05/10
Amplified_Ale_Works,San Diego,Brew Pub,3.73,"22,688","18,244 Ratings",Added 05/19/12
JaggedMountain,Denver,Micro Brewery,3.65,"49,778","42,090 Ratings",Added 10/15/13
wnew-planet7719,Boulder,Micro Brewery,2.35,"25,801","20,846 Ratings",Added 11/28/10
halfacrebeerco,Chicago,Micro Brewery,3.91,"971,487","629,108 Ratings",Added 11/05/10
EclipticBrewing,Portland,Brew Pub,3.76,"162,543","133,130 Ratings",Added 10/14/13
RockBottom,Chattanooga,Brew Pub,3.51,"434,055","346,988 Ratings",Added 10/08/10
wold-ivy-brewery-taproom143356,Vancouver,Brew Pub,3.64,"5,117","4,347 Ratings",Added 07/13/14
GardenGroveBrewingCompany,Richmond,Nano Brewery,3.64,"18,485","15,181 Ratings",Added 02/11/15
figmtnbrew,Buellton,Micro Brewery,3.73,"158,358","116,043 Ratings",Added 01/04/11
fiftyfiftybrewing,Truckee,Micro Brewery,4.21,"185,098","148,331 Ratings",Added 12/06/10
McMenamins,Portland,Micro Brewery,3.63,"261,890","205,020 Ratings",Added 10/11/10
churchbrewworks,Pittsburgh,Brew Pub,3.55,"125,363","98,162 Ratings",Added 11/13/10
AnheuserBusch,St. Louis,Macro Brewery,2.5,4.41M+,"1,729,092 Ratings",Added 09/19/10
BrouwerijVanSteenberge,Ertvelde,Micro Brewery,3.72,"910,713","702,233 Ratings",Added 10/13/10
FlatRockBrewCafe,Naremburn,Micro Brewery,3.61,"1,958","1,633 Ratings",Added 06/02/13
NorthCenterBrewingCompany,Northville,Micro Brewery,3.5,"9,976","8,065 Ratings",Added 04/15/15
abe_erb_brewing,Waterloo,Brew Pub,3.61,"22,134","17,344 Ratings",Added 11/09/14
ResolutionBrewingCompany,Anchorage,Micro Brewery,3.76,"3,936","3,201 Ratings",Added 03/16/15
FishBrewingCompany,Olympia,Macro Brewery,3.47,"134,544","109,403 Ratings",Added 10/18/10
DodgingDuckBrewhaus,Boerne,Brew Pub,3.61,"3,721","3,019 Ratings",Added 01/30/11
AngryChairBrewing,Tampa,Micro Brewery,4.14,"181,499","146,176 Ratings",Added 03/09/13
Black_Sands,San Francisco,Brew Pub,3.77,"6,310","5,279 Ratings",Added 07/08/14
wbamberg-bier5438,Votorantim,Micro Brewery,3.55,"55,009","37,914 Ratings",Added 11/16/10
BlockBrewingCompany,Howell,Brew Pub,3.64,"16,330","13,570 Ratings",Added 12/13/14
breweryommegang,Cooperstown,Micro Brewery,3.77,1.81M+,"1,341,666 Ratings",Added 10/05/10
biglick,Roanoke,Micro Brewery,3.82,"18,815","14,932 Ratings",Added 09/14/14
ManzanitaBrewingCo,Santee,Micro Brewery,3.57,"47,353","36,006 Ratings",Added 10/24/10
DominionBrewing,Dover,Micro Brewery,3.58,"243,552","172,404 Ratings",Added 10/08/10
sawworksbrewing,Knoxville,Micro Brewery,3.53,"30,268","21,160 Ratings",Added 05/22/12
CrownValleyBrewing,Sainte Genevieve,Micro Brewery,3.58,"81,132","60,153 Ratings",Added 11/07/10
rogueales,Newport,Micro Brewery,3.67,2.49M+,"1,872,430 Ratings",Added 10/08/10
